Age,AcademicPressure,WorkPressure,CGPA,StudySatisfaction,Work/StudyHours,FinancialStress,Stress_Index,Gender_Female,Gender_Male,SleepDuration_5-6hours,SleepDuration_7-8hours,SleepDuration_Lessthan5hours,SleepDuration_Morethan8hours,DietaryHabits_Healthy,DietaryHabits_Moderate,DietaryHabits_Unhealthy,Haveyoueverhadsuicidalthoughts?_No,Haveyoueverhadsuicidalthoughts?_Yes,FamilyHistoryofMentalIllness_No,FamilyHistoryofMentalIllness_Yes,target
31,1,0,7.52,5,5,1.0,1.0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
27,1,0,9.24,4,7,2.0,1.5,0,1,1,0,0,0,0,1,0,1,0,0,1,0
26,3,0,8.5,4,10,5.0,4.0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
26,4,0,6.75,2,6,3.0,3.5,0,1,0,0,1,0,1,0,0,0,1,0,1,1
25,3,0,9.94,3,12,4.0,3.5,1,0,1,0,0,0,1,0,0,0,1,1,0,1
20,4,0,5.08,2,10,2.0,3.0,1,0,0,0,1,0,0,0,1,0,1,1,0,1
24,3,0,9.19,3,10,4.0,3.5,0,1,0,0,0,1,1,0,0,0,1,1,0,1
23,5,0,5.59,5,9,4.0,4.5,0,1,0,0,1,0,0,0,1,0,1,1,0,1
29,2,0,8.14,1,10,1.0,1.5,1,0,0,0,1,0,0,1,0,0,1,0,1,0
25,3,0,6.21,3,6,3.0,3.0,1,0,1,0,0,0,1,0,0,0,1,1,0,1
24,4,0,5.16,2,0,1.0,2.5,1,0,0,0,1,0,0,1,0,1,0,1,0,0
23,4,0,10.0,4,1,5.0,4.5,0,1,0,0,0,1,0,1,0,0,1,0,1,1
33,3,0,9.41,2,10,4.0,3.5,0,1,0,1,0,0,1,0,0,0,1,0,1,1
34,3,0,9.96,3,6,4.0,3.5,1,0,0,0,1,0,0,0,1,0,1,1,0,1
22,3,0,9.5,4,9,3.0,3.0,1,0,0,1,0,0,1,0,0,0,1,0,1,1
21,5,0,7.09,4,8,3.0,4.0,1,0,0,0,0,1,0,1,0,0,1,1,0,1
28,5,0,6.38,2,6,4.0,4.5,1,0,0,1,0,0,1,0,0,1,0,0,1,0
22,2,0,7.61,2,1,3.0,2.5,1,0,0,1,0,0,0,1,0,0,1,0,1,0
20,4,0,8.09,3,7,2.0,3.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
23,2,0,9.44,2,12,3.0,2.5,0,1,0,1,0,0,1,0,0,1,0,1,0,0
21,5,0,5.11,5,10,4.0,4.5,1,0,1,0,0,0,0,0,1,0,1,0,1,1
22,1,0,8.74,1,6,1.0,1.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0
24,3,0,6.02,4,12,4.0,3.5,1,0,1,0,0,0,1,0,0,0,1,1,0,1
23,5,0,5.86,3,10,2.0,3.5,0,1,0,0,1,0,0,0,1,0,1,1,0,1
27,5,0,9.41,1,12,2.0,3.5,1,0,0,1,0,0,1,0,0,0,1,0,1,1
18,5,0,6.89,1,5,1.0,3.0,0,1,0,1,0,0,0,1,0,0,1,0,1,1
30,3,0,6.39,2,8,1.0,2.0,0,1,1,0,0,0,0,0,1,0,1,1,0,0
33,1,0,9.96,3,2,1.0,1.0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
24,1,0,7.77,1,4,3.0,2.0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
24,5,0,6.81,4,10,3.0,4.0,0,1,1,0,0,0,1,0,0,0,1,1,0,1
24,2,0,5.48,2,12,3.0,2.5,1,0,0,0,1,0,0,1,0,0,1,0,1,1
21,3,0,6.38,5,8,5.0,4.0,0,1,0,0,1,0,1,0,0,0,1,1,0,1
22,4,0,8.04,1,4,5.0,4.5,1,0,0,0,0,1,0,1,0,0,1,1,0,1
33,5,0,8.74,4,0,2.0,3.5,0,1,1,0,0,0,0,1,0,1,0,1,0,0
26,5,0,7.32,5,8,2.0,3.5,1,0,0,0,1,0,1,0,0,0,1,0,1,1
31,4,0,5.72,5,6,1.0,2.5,0,1,0,0,0,1,0,1,0,1,0,0,1,0
19,3,0,8.24,3,11,2.0,2.5,0,1,0,0,1,0,1,0,0,0,1,0,1,0
27,4,0,5.99,3,10,1.0,2.5,0,1,0,0,1,0,0,0,1,0,1,1,0,1
25,3,0,9.49,1,12,4.0,3.5,0,1,0,1,0,0,0,1,0,0,1,1,0,1
30,1,0,5.99,2,11,3.0,2.0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
30,4,0,9.96,1,11,2.0,3.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0
24,4,0,5.79,5,8,4.0,4.0,0,1,0,1,0,0,1,0,0,0,1,0,1,1
27,1,0,7.49,3,7,1.0,1.0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
20,2,0,6.69,3,12,4.0,3.0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
30,2,0,7.51,2,8,4.0,3.0,0,1,1,0,0,0,0,1,0,0,1,0,1,1
24,1,0,8.58,5,3,5.0,3.0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
27,3,0,6.1,2,11,5.0,4.0,1,0,1,0,0,0,0,1,0,0,1,1,0,1
33,5,0,7.61,2,10,4.0,4.5,0,1,0,0,1,0,0,0,1,0,1,1,0,1
24,3,0,6.78,5,10,5.0,4.0,0,1,1,0,0,0,0,0,1,0,1,0,1,1
33,5,0,6.27,5,9,1.0,3.0,1,0,0,0,0,1,1,0,0,1,0,1,0,0
19,5,0,9.5,3,9,2.0,3.5,1,0,1,0,0,0,0,0,1,0,1,0,1,1
33,5,0,8.62,2,9,3.0,4.0,1,0,1,0,0,0,0,1,0,0,1,0,1,1
23,5,0,8.91,1,6,2.0,3.5,1,0,0,0,0,1,0,1,0,0,1,1,0,1
24,3,0,6.04,4,6,2.0,2.5,0,1,0,0,0,1,0,1,0,1,0,1,0,0
26,4,0,8.75,1,11,1.0,2.5,0,1,0,0,1,0,0,0,1,0,1,1,0,1
33,5,0,8.58,4,9,1.0,3.0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
19,3,0,6.89,5,11,2.0,2.5,0,1,0,0,1,0,0,1,0,0,1,1,0,1
28,4,0,7.25,4,7,3.0,3.5,1,0,0,0,0,1,0,1,0,1,0,0,1,0
28,4,0,9.72,1,5,4.0,4.0,1,0,1,0,0,0,1,0,0,0,1,0,1,1
25,1,0,5.59,4,10,3.0,2.0,1,0,1,0,0,0,0,1,0,0,1,1,0,0
27,2,0,6.02,2,8,5.0,3.5,0,1,0,0,0,1,1,0,0,0,1,0,1,1
20,4,0,8.04,3,7,1.0,2.5,0,1,0,1,0,0,0,1,0,1,0,1,0,0
29,4,0,6.78,2,6,5.0,4.5,0,1,0,0,0,1,0,0,1,0,1,1,0,1
27,4,0,8.69,2,5,5.0,4.5,0,1,0,0,0,1,0,0,1,0,1,0,1,1
21,5,0,7.25,3,6,4.0,4.5,1,0,0,1,0,0,0,1,0,0,1,0,1,1
30,3,0,7.94,3,10,2.0,2.5,0,1,1,0,0,0,1,0,0,1,0,1,0,0
25,3,0,9.72,2,8,4.0,3.5,0,1,0,1,0,0,0,0,1,0,1,1,0,1
20,5,0,8.94,4,10,2.0,3.5,0,1,0,0,1,0,0,1,0,1,0,1,0,1
30,1,0,7.35,1,2,2.0,1.5,1,0,0,1,0,0,0,1,0,1,0,0,1,0
24,1,0,9.21,4,3,2.0,1.5,0,1,1,0,0,0,0,1,0,0,1,1,0,0
28,1,0,5.79,1,0,2.0,1.5,0,1,1,0,0,0,0,0,1,0,1,1,0,0
26,4,0,8.04,3,6,5.0,4.5,0,1,1,0,0,0,0,1,0,0,1,0,1,1
30,5,0,9.74,2,10,1.0,3.0,0,1,1,0,0,0,0,0,1,1,0,1,0,0
28,1,0,9.49,4,0,5.0,3.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
33,3,0,7.77,4,7,3.0,3.0,0,1,0,0,0,1,0,1,0,0,1,1,0,1
31,1,0,5.61,3,7,2.0,1.5,0,1,0,1,0,0,0,0,1,1,0,1,0,0
31,5,0,9.56,5,10,4.0,4.5,0,1,0,0,1,0,0,0,1,1,0,1,0,1
27,4,0,9.39,2,4,1.0,2.5,1,0,1,0,0,0,0,1,0,1,0,0,1,0
20,3,0,6.16,4,12,4.0,3.5,0,1,0,1,0,0,1,0,0,1,0,1,0,1
32,4,0,6.16,3,10,4.0,4.0,0,1,1,0,0,0,0,1,0,0,1,0,1,1
28,1,0,6.83,3,10,2.0,1.5,1,0,0,0,0,1,0,1,0,1,0,0,1,0
29,2,0,5.97,3,6,3.0,2.5,0,1,1,0,0,0,0,0,1,1,0,1,0,1
24,5,0,7.53,4,7,1.0,3.0,0,1,0,0,0,1,0,0,1,0,1,0,1,1
34,1,0,9.56,4,10,1.0,1.0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
21,2,0,8.04,4,7,3.0,2.5,0,1,0,0,0,1,1,0,0,0,1,0,1,1
30,5,0,8.08,2,0,3.0,4.0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
25,5,0,8.04,3,7,3.0,4.0,0,1,0,1,0,0,0,0,1,1,0,0,1,1
34,1,0,6.27,3,8,1.0,1.0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
33,4,0,8.91,3,12,1.0,2.5,1,0,0,0,0,1,0,1,0,1,0,0,1,0
25,4,0,8.83,1,3,2.0,3.0,1,0,0,0,0,1,1,0,0,1,0,1,0,0
24,4,0,8.59,3,10,4.0,4.0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
26,2,0,5.8,4,8,3.0,2.5,1,0,0,0,1,0,0,1,0,0,1,1,0,0
20,2,0,5.56,1,7,5.0,3.5,1,0,0,0,1,0,1,0,0,1,0,1,0,1
19,3,0,7.23,4,6,2.0,2.5,1,0,0,0,0,1,1,0,0,1,0,0,1,0
32,2,0,8.93,3,11,5.0,3.5,1,0,1,0,0,0,1,0,0,0,1,1,0,1
34,3,0,7.09,4,12,1.0,2.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
30,1,0,5.57,4,7,3.0,2.0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
24,3,0,9.47,3,1,3.0,3.0,1,0,0,0,1,0,0,0,1,0,1,1,0,1
21,1,0,6.84,1,8,3.0,2.0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
21,4,0,8.5,1,12,3.0,3.5,1,0,1,0,0,0,0,1,0,0,1,1,0,1
23,5,0,6.56,2,3,5.0,5.0,0,1,0,1,0,0,1,0,0,0,1,0,1,1
19,4,0,9.42,3,11,2.0,3.0,0,1,0,0,0,1,0,0,1,1,0,1,0,0
26,4,0,8.83,2,12,5.0,4.5,0,1,0,1,0,0,0,0,1,0,1,0,1,1
33,1,0,9.67,3,5,3.0,2.0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
18,3,0,6.37,4,9,5.0,4.0,1,0,0,0,0,1,1,0,0,0,1,1,0,1
25,5,0,5.61,4,2,3.0,4.0,0,1,0,0,1,0,0,0,1,0,1,0,1,1
20,5,0,7.49,4,1,4.0,4.5,0,1,0,0,0,1,0,0,1,0,1,1,0,1
30,3,0,5.1,3,10,3.0,3.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
20,3,0,6.02,4,3,3.0,3.0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
20,3,0,5.82,1,3,4.0,3.5,0,1,0,0,0,1,0,1,0,1,0,1,0,0
27,3,0,9.37,3,9,1.0,2.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
21,5,0,5.85,1,11,3.0,4.0,1,0,0,0,0,1,1,0,0,0,1,0,1,1
29,3,0,8.04,4,0,1.0,2.0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
31,3,0,6.92,4,8,4.0,3.5,1,0,0,0,0,1,0,0,1,0,1,0,1,1
24,4,0,7.09,2,8,3.0,3.5,0,1,0,0,1,0,0,0,1,0,1,1,0,1
18,4,0,6.88,4,10,2.0,3.0,1,0,1,0,0,0,0,0,1,1,0,0,1,1
21,5,0,8.53,2,10,5.0,5.0,1,0,0,0,1,0,0,0,1,0,1,1,0,1
29,2,0,8.0,5,10,4.0,3.0,1,0,1,0,0,0,0,1,0,0,1,1,0,1
21,1,0,6.78,2,7,2.0,1.5,1,0,0,1,0,0,1,0,0,0,1,0,1,0
20,5,0,8.04,4,10,1.0,3.0,0,1,0,0,1,0,0,0,1,0,1,1,0,1
24,1,0,9.41,3,5,1.0,1.0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
28,3,0,6.83,1,12,3.0,3.0,0,1,1,0,0,0,0,1,0,0,1,1,0,1
22,1,0,9.92,3,10,2.0,1.5,0,1,0,0,0,1,0,0,1,0,1,1,0,0
33,4,0,9.82,2,7,3.0,3.5,0,1,0,0,0,1,0,1,0,1,0,1,0,1
20,4,0,8.56,1,4,1.0,2.5,0,1,0,0,0,1,0,1,0,0,1,1,0,1
32,1,0,8.04,2,8,2.0,1.5,1,0,1,0,0,0,0,0,1,1,0,0,1,1
22,1,0,7.1,2,10,2.0,1.5,0,1,0,0,0,1,0,0,1,1,0,1,0,0
21,5,0,7.8,1,11,5.0,5.0,0,1,0,0,1,0,0,0,1,0,1,0,1,1
34,4,0,9.04,5,3,1.0,2.5,1,0,0,1,0,0,0,1,0,1,0,1,0,0
26,5,0,5.26,2,7,1.0,3.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0
30,2,0,7.88,3,5,1.0,1.5,1,0,0,0,0,1,0,1,0,1,0,0,1,0
19,1,0,5.6,4,4,3.0,2.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0
31,4,0,5.67,4,5,4.0,4.0,1,0,0,1,0,0,1,0,0,0,1,0,1,1
20,3,0,6.36,3,6,4.0,3.5,1,0,0,0,1,0,1,0,0,0,1,1,0,1
21,5,0,8.95,1,11,1.0,3.0,1,0,0,0,0,1,0,0,1,0,1,0,1,1
23,1,0,7.38,2,3,1.0,1.0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
28,5,0,7.77,1,12,1.0,3.0,1,0,1,0,0,0,0,0,1,0,1,0,1,1
29,4,0,6.89,5,8,2.0,3.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
28,3,0,8.17,1,7,4.0,3.5,1,0,0,0,1,0,1,0,0,1,0,1,0,1
28,4,0,5.1,2,11,5.0,4.5,1,0,0,0,1,0,0,0,1,0,1,1,0,1
21,1,0,8.71,3,5,4.0,2.5,0,1,0,1,0,0,0,0,1,0,1,0,1,1
21,5,0,7.09,2,11,3.0,4.0,1,0,0,1,0,0,0,1,0,0,1,1,0,1
21,2,0,5.37,3,4,2.0,2.0,0,1,0,0,1,0,0,0,1,1,0,1,0,0
24,5,0,7.77,2,7,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
24,5,0,8.9,2,0,2.0,3.5,1,0,0,1,0,0,1,0,0,0,1,0,1,1
33,2,0,5.74,5,4,2.0,2.0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
21,5,0,6.75,3,3,2.0,3.5,1,0,0,1,0,0,0,1,0,0,1,1,0,1
32,5,0,5.74,2,12,5.0,5.0,0,1,0,0,1,0,0,1,0,0,1,0,1,1
20,5,0,6.41,4,11,2.0,3.5,1,0,0,0,1,0,0,0,1,0,1,0,1,1
27,5,0,8.77,5,9,5.0,5.0,1,0,0,0,1,0,0,0,1,0,1,0,1,1
20,3,0,5.08,2,0,2.0,2.5,1,0,0,0,0,1,1,0,0,1,0,1,0,0
27,1,0,8.44,1,10,4.0,2.5,0,1,0,0,1,0,1,0,0,0,1,0,1,1
29,4,0,5.27,2,12,1.0,2.5,1,0,0,0,0,1,0,0,1,0,1,0,1,1
32,3,0,8.95,5,11,1.0,2.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
18,3,0,7.83,3,10,3.0,3.0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
24,5,0,8.96,1,10,1.0,3.0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
18,5,0,8.97,1,10,4.0,4.5,0,1,1,0,0,0,0,1,0,0,1,0,1,1
24,5,0,9.6,4,9,2.0,3.5,0,1,0,1,0,0,0,1,0,1,0,0,1,1
28,5,0,8.53,2,12,2.0,3.5,1,0,0,1,0,0,0,0,1,0,1,1,0,1
33,3,0,6.75,4,7,1.0,2.0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
23,1,0,7.24,4,5,3.0,2.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
26,5,0,6.29,1,8,2.0,3.5,0,1,0,0,1,0,0,1,0,0,1,1,0,1
33,3,0,7.43,1,9,4.0,3.5,0,1,0,0,1,0,0,1,0,0,1,0,1,1
19,3,0,5.76,2,11,4.0,3.5,1,0,1,0,0,0,0,1,0,1,0,0,1,1
33,1,0,7.82,1,12,1.0,1.0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
25,5,0,5.61,4,10,4.0,4.5,1,0,0,1,0,0,0,1,0,0,1,1,0,0
28,2,0,6.84,3,11,1.0,1.5,1,0,1,0,0,0,1,0,0,1,0,1,0,0
27,4,0,8.27,1,10,4.0,4.0,0,1,0,1,0,0,0,1,0,0,1,1,0,1
24,5,0,6.1,3,10,5.0,5.0,1,0,0,0,1,0,1,0,0,0,1,1,0,1
33,3,0,5.12,3,12,2.0,2.5,0,1,0,0,1,0,0,1,0,0,1,0,1,1
25,4,0,8.03,4,6,4.0,4.0,0,1,0,0,0,1,0,1,0,0,1,1,0,0
33,3,0,8.59,2,11,2.0,2.5,0,1,1,0,0,0,1,0,0,0,1,0,1,1
25,4,0,6.38,4,6,4.0,4.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
23,1,0,6.78,4,3,2.0,1.5,0,1,1,0,0,0,0,1,0,0,1,1,0,0
29,3,0,9.86,3,5,2.0,2.5,1,0,0,0,0,1,0,1,0,1,0,0,1,0
30,4,0,9.89,3,5,3.0,3.5,1,0,0,0,1,0,1,0,0,0,1,0,1,1
33,4,0,6.39,4,7,3.0,3.5,0,1,0,0,1,0,0,1,0,0,1,1,0,1
33,4,0,9.21,4,8,5.0,4.5,0,1,0,1,0,0,0,0,1,0,1,0,1,1
27,2,0,9.71,2,12,5.0,3.5,0,1,0,0,1,0,1,0,0,0,1,0,1,0
33,3,0,7.85,4,3,1.0,2.0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
20,5,0,9.24,1,8,5.0,5.0,0,1,0,0,1,0,0,0,1,0,1,0,1,1
18,3,0,8.17,2,12,2.0,2.5,1,0,0,0,1,0,0,1,0,0,1,1,0,1
20,5,0,8.04,2,6,5.0,5.0,0,1,0,1,0,0,0,1,0,0,1,0,1,1
24,3,0,9.74,5,6,5.0,4.0,0,1,1,0,0,0,0,1,0,0,1,0,1,1
18,5,0,9.9,2,7,1.0,3.0,0,1,0,1,0,0,0,0,1,1,0,1,0,1
26,4,0,5.85,3,12,4.0,4.0,1,0,0,0,0,1,0,1,0,0,1,0,1,1
25,4,0,9.7,3,6,4.0,4.0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
32,2,0,8.09,4,8,3.0,2.5,0,1,1,0,0,0,1,0,0,1,0,0,1,0
28,3,0,9.24,4,12,2.0,2.5,0,1,0,0,0,1,0,1,0,1,0,1,0,1
29,5,0,5.27,3,11,5.0,5.0,0,1,0,1,0,0,1,0,0,0,1,1,0,1
18,1,0,7.25,4,7,4.0,2.5,0,1,1,0,0,0,0,0,1,0,1,0,1,1
23,3,0,8.58,4,8,2.0,2.5,1,0,0,0,0,1,1,0,0,1,0,0,1,0
20,3,0,6.89,4,11,3.0,3.0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
23,3,0,8.04,1,8,5.0,4.0,1,0,0,1,0,0,0,0,1,0,1,1,0,1
20,4,0,8.42,2,10,4.0,4.0,0,1,1,0,0,0,0,0,1,0,1,0,1,1
28,2,0,5.67,1,9,2.0,2.0,1,0,0,1,0,0,0,1,0,0,1,1,0,0
22,2,0,5.41,3,12,4.0,3.0,0,1,1,0,0,0,0,1,0,0,1,0,1,1
34,3,0,7.51,1,10,5.0,4.0,0,1,1,0,0,0,0,0,1,0,1,0,1,1
24,3,0,6.16,3,6,3.0,3.0,1,0,0,0,0,1,0,1,0,0,1,1,0,1
31,3,0,7.7,1,8,5.0,4.0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
25,3,0,9.78,5,8,5.0,4.0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
27,3,0,6.37,1,12,2.0,2.5,0,1,0,0,0,1,0,1,0,0,1,1,0,0
24,4,0,8.5,1,8,4.0,4.0,1,0,0,0,0,1,1,0,0,0,1,0,1,1
22,3,0,7.52,3,1,5.0,4.0,0,1,0,0,0,1,0,0,1,0,1,0,1,1
24,5,0,9.41,3,10,3.0,4.0,1,0,0,0,0,1,1,0,0,0,1,1,0,1
33,1,0,9.36,3,11,5.0,3.0,0,1,0,1,0,0,0,1,0,0,1,1,0,1
25,2,0,9.9,3,3,3.0,2.5,0,1,0,0,0,1,0,0,1,0,1,1,0,1
31,1,0,6.08,3,3,1.0,1.0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
25,2,0,9.71,3,6,4.0,3.0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
28,1,0,9.63,2,1,2.0,1.5,0,1,0,0,0,1,0,0,1,1,0,1,0,0
28,5,0,7.64,4,12,5.0,5.0,1,0,0,0,1,0,1,0,0,0,1,0,1,1
33,1,0,8.44,3,2,4.0,2.5,1,0,0,1,0,0,1,0,0,1,0,0,1,0
29,4,0,9.74,1,10,1.0,2.5,1,0,0,1,0,0,0,1,0,0,1,1,0,1
19,5,0,5.98,2,10,5.0,5.0,0,1,0,0,1,0,1,0,0,0,1,0,1,1
26,1,0,9.19,2,2,3.0,2.0,1,0,0,0,1,0,0,1,0,1,0,1,0,0
27,4,0,7.94,4,9,3.0,3.5,1,0,1,0,0,0,0,0,1,0,1,1,0,1
30,5,0,9.96,4,10,5.0,5.0,0,1,0,0,1,0,1,0,0,0,1,0,1,1
26,3,0,7.68,4,6,4.0,3.5,0,1,0,0,1,0,0,1,0,0,1,1,0,1
29,3,0,9.79,3,6,1.0,2.0,0,1,1,0,0,0,0,0,1,1,0,1,0,0
24,1,0,9.41,3,10,5.0,3.0,0,1,0,1,0,0,0,0,1,1,0,0,1,0
22,2,0,9.49,4,3,1.0,1.5,0,1,0,0,1,0,1,0,0,0,1,0,1,1
21,2,0,7.47,5,11,1.0,1.5,0,1,0,0,1,0,0,1,0,1,0,1,0,1
31,1,0,9.56,3,4,3.0,2.0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
21,1,0,7.38,5,6,4.0,2.5,1,0,0,0,1,0,0,1,0,1,0,0,1,0
26,3,0,7.75,2,6,3.0,3.0,0,1,1,0,0,0,0,0,1,1,0,1,0,0
28,2,0,8.04,1,7,3.0,2.5,0,1,1,0,0,0,0,0,1,1,0,1,0,0
25,3,0,7.27,2,1,1.0,2.0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
23,1,0,6.89,1,0,5.0,3.0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
18,5,0,7.25,5,11,5.0,5.0,0,1,0,1,0,0,0,0,1,0,1,0,1,1
21,1,0,6.79,1,5,2.0,1.5,0,1,0,0,0,1,0,0,1,1,0,0,1,0
33,3,0,7.04,4,6,1.0,2.0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
18,5,0,5.89,2,9,5.0,5.0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
24,4,0,8.03,1,11,5.0,4.5,1,0,0,0,0,1,1,0,0,1,0,1,0,1
20,4,0,6.08,3,4,2.0,3.0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
25,3,0,6.78,3,11,5.0,4.0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
